2111,french fries,tomato juice,fresh bread,,,,,,,,,,,,,,,,,
1521,red wine,,,,,,,,,,,,,,,,,,,
7123,pancakes,eggs,light cream,,,,,,,,,,,,,,,,,
4933,grated cheese,herb & pepper,spaghetti,olive oil,brownies,strawberries,,,,,,,,,,,,,,
6887,cookies,,,,,,,,,,,,,,,,,,,
7306,tomatoes,whole wheat pasta,ground beef,mineral water,soup,olive oil,black tea,salmon,cake,,,,,,,,,,,
1529,shrimp,ground beef,spaghetti,bug spray,chocolate,strawberries,,,,,,,,,,,,,,
4535,protein bar,,,,,,,,,,,,,,,,,,,
1892,chocolate,herb & pepper,shrimp,frozen vegetables,tomatoes,ground beef,spaghetti,mineral water,eggs,,,,,,,,,,,
2724,butter,chicken,cider,eggs,,,,,,,,,,,,,,,,
5122,french fries,,,,,,,,,,,,,,,,,,,
1746,spaghetti,milk,,,,,,,,,,,,,,,,,,
4727,tomatoes,french fries,,,,,,,,,,,,,,,,,,
3228,eggs,french fries,,,,,,,,,,,,,,,,,,
571,yams,cookies,toothpaste,,,,,,,,,,,,,,,,,
2898,grated cheese,tomatoes,spaghetti,chocolate,rice,cooking oil,french fries,brownies,green tea,,,,,,,,,,,
7003,turkey,shrimp,spaghetti,butter,melons,low fat yogurt,,,,,,,,,,,,,,
3625,turkey,ground beef,chocolate,escalope,,,,,,,,,,,,,,,,
4719,mineral water,meatballs,chicken,green tea,,,,,,,,,,,,,,,,
4386,grated cheese,frozen vegetables,milk,salmon,eggs,cooking oil,corn,,,,,,,,,,,,,
2030,fromage blanc,eggs,french fries,,,,,,,,,,,,,,,,,
3594,eggs,escalope,,,,,,,,,,,,,,,,,,
5660,mineral water,avocado,cake,cottage cheese,,,,,,,,,,,,,,,,
469,eggs,corn,,,,,,,,,,,,,,,,,,
4691,low fat yogurt,,,,,,,,,,,,,,,,,,,
155,burgers,,,,,,,,,,,,,,,,,,,
1206,cookies,,,,,,,,,,,,,,,,,,,
6143,mineral water,olive oil,,,,,,,,,,,,,,,,,,
1089,energy bar,cake,cottage cheese,gluten free bar,,,,,,,,,,,,,,,,
2634,shrimp,frozen vegetables,avocado,flax seed,cooking oil,,,,,,,,,,,,,,,
2312,escalope,shallot,white wine,,,,,,,,,,,,,,,,,
5242,parmesan cheese,ground beef,mineral water,soup,olive oil,oatmeal,,,,,,,,,,,,,,
3326,escalope,pasta,mushroom cream sauce,,,,,,,,,,,,,,,,,
3342,chocolate,,,,,,,,,,,,,,,,,,,
4768,eggs,,,,,,,,,,,,,,,,,,,
3755,tomatoes,chocolate,french fries,frozen smoothie,cookies,low fat yogurt,,,,,,,,,,,,,,
2836,whole wheat pasta,meatballs,milk,antioxydant juice,french fries,fresh bread,,,,,,,,,,,,,,
2066,mineral water,chocolate,,,,,,,,,,,,,,,,,,
7392,green beans,,,,,,,,,,,,,,,,,,,
1259,salmon,whole wheat rice,,,,,,,,,,,,,,,,,,
4366,champagne,,,,,,,,,,,,,,,,,,,
6996,pepper,spaghetti,mineral water,milk,olive oil,tea,asparagus,,,,,,,,,,,,,
7254,burgers,fresh tuna,chocolate,,,,,,,,,,,,,,,,,
5926,chocolate,zucchini,,,,,,,,,,,,,,,,,,
2359,cookies,,,,,,,,,,,,,,,,,,,
1282,cake,cottage cheese,green tea,,,,,,,,,,,,,,,,,
2311,french fries,strawberries,low fat yogurt,candy bars,,,,,,,,,,,,,,,,
827,mineral water,rice,,,,,,,,,,,,,,,,,,
28,frozen vegetables,spaghetti,yams,mineral water,,,,,,,,,,,,,,,,
6541,french fries,,,,,,,,,,,,,,,,,,,
7034,cookies,mushroom cream sauce,,,,,,,,,,,,,,,,,,
1506,herb & pepper,nonfat milk,eggs,cooking oil,,,,,,,,,,,,,,,,
3474,mineral water,olive oil,eggs,mint,,,,,,,,,,,,,,,,
5103,grated cheese,frozen vegetables,milk,honey,frozen smoothie,,,,,,,,,,,,,,,
2463,cottage cheese,mint,,,,,,,,,,,,,,,,,,
5327,escalope,,,,,,,,,,,,,,,,,,,
3571,tomatoes,,,,,,,,,,,,,,,,,,,
7138,chocolate,ground beef,spaghetti,eggs,cookies,mushroom cream sauce,,,,,,,,,,,,,,
4009,hot dogs,light mayo,,,,,,,,,,,,,,,,,,
3168,turkey,burgers,fromage blanc,eggs,pasta,,,,,,,,,,,,,,,
7412,tomatoes,spaghetti,mineral water,pancakes,cake,rice,chili,salt,,,,,,,,,,,,
433,magazines,mint,,,,,,,,,,,,,,,,,,
2584,burgers,butter,,,,,,,,,,,,,,,,,,
6459,ham,tomatoes,mineral water,french fries,low fat yogurt,,,,,,,,,,,,,,,
3335,cookies,,,,,,,,,,,,,,,,,,,
1264,turkey,whole wheat rice,chicken,,,,,,,,,,,,,,,,,
470,shrimp,frozen vegetables,tomato sauce,mineral water,chocolate,soup,olive oil,salmon,green beans,champagne,,,,,,,,,,
4703,shrimp,eggs,french fries,strawberries,green tea,,,,,,,,,,,,,,,
5284,cake,french fries,,,,,,,,,,,,,,,,,,
6622,turkey,blueberries,white wine,,,,,,,,,,,,,,,,,
5459,french fries,energy drink,,,,,,,,,,,,,,,,,,
5645,burgers,,,,,,,,,,,,,,,,,,,
4518,spaghetti,chicken,,,,,,,,,,,,,,,,,,
907,burgers,ground beef,eggs,chocolate,champagne,zucchini,,,,,,,,,,,,,,
999,herb & pepper,red wine,spaghetti,eggs,whole wheat rice,chocolate,french fries,escalope,cookies,,,,,,,,,,,
3235,eggs,honey,,,,,,,,,,,,,,,,,,
3790,green tea,,,,,,,,,,,,,,,,,,,
2501,cereals,,,,,,,,,,,,,,,,,,,
6879,eggs,cookies,,,,,,,,,,,,,,,,,,
2645,ground beef,spaghetti,milk,eggs,light cream,,,,,,,,,,,,,,,
3871,spaghetti,bug spray,whole weat flour,,,,,,,,,,,,,,,,,
5323,eggs,,,,,,,,,,,,,,,,,,,
1890,spaghetti,energy bar,pancakes,whole wheat rice,cake,french fries,low fat yogurt,,,,,,,,,,,,,
998,turkey,tomatoes,spaghetti,milk,cider,eggs,honey,cake,green tea,french fries,brownies,tomato juice,,,,,,,,
3645,frozen vegetables,,,,,,,,,,,,,,,,,,,
266,chocolate,,,,,,,,,,,,,,,,,,,
3530,grated cheese,mineral water,soup,olive oil,,,,,,,,,,,,,,,,
1223,olive oil,,,,,,,,,,,,,,,,,,,
1109,ground beef,frozen smoothie,cottage cheese,mint,,,,,,,,,,,,,,,,
2637,mineral water,chicken,hot dogs,light mayo,,,,,,,,,,,,,,,,
5465,fresh bread,,,,,,,,,,,,,,,,,,,
4289,grated cheese,pepper,pancakes,cake,french fries,green tea,,,,,,,,,,,,,,
773,mineral water,olive oil,extra dark chocolate,,,,,,,,,,,,,,,,,
872,shrimp,honey,pasta,energy drink,green tea,,,,,,,,,,,,,,,
6311,herb & pepper,frozen vegetables,ground beef,spaghetti,mineral water,soup,pancakes,,,,,,,,,,,,,
4162,tomatoes,mineral water,honey,whole wheat rice,cooking oil,whole weat flour,frozen smoothie,low fat yogurt,,,,,,,,,,,,
5773,olive oil,light mayo,,,,,,,,,,,,,,,,,,
3520,green tea,,,,,,,,,,,,,,,,,,,
3002,eggs,oil,,,,,,,,,,,,,,,,,,
77,grated cheese,ground beef,spaghetti,mineral water,white wine,,,,,,,,,,,,,,,
7486,soup,milk,,,,,,,,,,,,,,,,,,
4721,cookies,,,,,,,,,,,,,,,,,,,
6762,mineral water,soup,gums,,,,,,,,,,,,,,,,,
618,cookies,shallot,strawberries,,,,,,,,,,,,,,,,,
7476,tomato juice,,,,,,,,,,,,,,,,,,,
1177,mineral water,green tea,,,,,,,,,,,,,,,,,,
1875,pancakes,eggs,,,,,,,,,,,,,,,,,,
59,spaghetti,,,,,,,,,,,,,,,,,,,
1038,french fries,hand protein bar,,,,,,,,,,,,,,,,,,
5644,ham,spaghetti,soup,almonds,rice,green tea,,,,,,,,,,,,,,
6774,shrimp,frozen vegetables,mineral water,vegetables mix,eggs,whole wheat rice,,,,,,,,,,,,,,
944,cake,,,,,,,,,,,,,,,,,,,
564,shrimp,soup,milk,almonds,eggs,oil,chocolate,,,,,,,,,,,,,
4641,burgers,frozen vegetables,ground beef,spaghetti,french wine,frozen smoothie,cottage cheese,brownies,,,,,,,,,,,,
684,vegetables mix,champagne,,,,,,,,,,,,,,,,,,
1257,milk,salmon,whole weat flour,chocolate,low fat yogurt,,,,,,,,,,,,,,,
5402,shrimp,frozen vegetables,tomatoes,butter,nonfat milk,french fries,frozen smoothie,tomato juice,fresh bread,,,,,,,,,,,
6647,mineral water,whole wheat rice,french fries,escalope,hot dogs,cottage cheese,pancakes,green tea,,,,,,,,,,,,
2185,mineral water,energy bar,chocolate,french fries,body spray,low fat yogurt,,,,,,,,,,,,,,
2937,burgers,spaghetti,cider,eggs,french fries,hot dogs,cottage cheese,,,,,,,,,,,,,
7161,burgers,french wine,green tea,,,,,,,,,,,,,,,,,
6770,grated cheese,mineral water,,,,,,,,,,,,,,,,,,
4066,turkey,burgers,shrimp,tomatoes,cooking oil,,,,,,,,,,,,,,,
6379,mineral water,chocolate,milk,pancakes,eggs,,,,,,,,,,,,,,,
63,turkey,eggs,,,,,,,,,,,,,,,,,,
7212,eggs,,,,,,,,,,,,,,,,,,,
1970,energy bar,eggs,,,,,,,,,,,,,,,,,,
2956,frozen vegetables,butter,cake,pancakes,fresh bread,green tea,,,,,,,,,,,,,,
3522,spaghetti,mineral water,pancakes,cooking oil,chocolate,frozen smoothie,escalope,,,,,,,,,,,,,
4443,brownies,yogurt cake,,,,,,,,,,,,,,,,,,
3704,antioxydant juice,,,,,,,,,,,,,,,,,,,
4284,mineral water,chocolate,mashed potato,brownies,,,,,,,,,,,,,,,,
3198,herb & pepper,soup,chicken,french fries,candy bars,,,,,,,,,,,,,,,
2654,herb & pepper,,,,,,,,,,,,,,,,,,,
2572,milk,french wine,chicken,escalope,,,,,,,,,,,,,,,,
1302,mineral water,milk,olive oil,black tea,light mayo,,,,,,,,,,,,,,,
365,mineral water,,,,,,,,,,,,,,,,,,,
7011,eggs,french fries,,,,,,,,,,,,,,,,,,
5282,burgers,yams,mineral water,avocado,energy bar,salmon,pancakes,whole wheat rice,cake,cooking oil,barbecue sauce,green tea,french fries,escalope,,,,,,
4296,fresh tuna,pepper,tomato sauce,sandwich,,,,,,,,,,,,,,,,
819,eggs,cottage cheese,,,,,,,,,,,,,,,,,,
5806,mineral water,milk,eggs,chili,green tea,,,,,,,,,,,,,,,
4549,burgers,tomatoes,soup,french fries,cookies,body spray,green tea,,,,,,,,,,,,,
5668,nonfat milk,gluten free bar,light mayo,babies food,,,,,,,,,,,,,,,,
6898,mineral water,sparkling water,yogurt cake,energy drink,light mayo,,,,,,,,,,,,,,,
6393,turkey,chicken,honey,,,,,,,,,,,,,,,,,
2290,turkey,red wine,frozen vegetables,ground beef,pancakes,pet food,protein bar,,,,,,,,,,,,,
574,pepper,mineral water,escalope,shallot,protein bar,white wine,,,,,,,,,,,,,,
4822,ham,mineral water,eggs,,,,,,,,,,,,,,,,,
4970,spaghetti,mineral water,soup,milk,chicken,cake,hot dogs,,,,,,,,,,,,,
3658,shrimp,frozen vegetables,spaghetti,mineral water,milk,energy bar,chicken,chocolate,mint,,,,,,,,,,,
6025,shrimp,oil,champagne,,,,,,,,,,,,,,,,,
6194,burgers,almonds,eggs,chicken,light mayo,,,,,,,,,,,,,,,
1351,cookies,water spray,,,,,,,,,,,,,,,,,,
700,frozen smoothie,,,,,,,,,,,,,,,,,,,
2266,grated cheese,chicken,low fat yogurt,,,,,,,,,,,,,,,,,
6246,milk,cider,cake,green tea,,,,,,,,,,,,,,,,
682,ham,ground beef,olive oil,energy bar,chicken,brownies,white wine,,,,,,,,,,,,,
1240,eggs,french fries,brownies,green tea,,,,,,,,,,,,,,,,
83,energy bar,,,,,,,,,,,,,,,,,,,
5417,white wine,,,,,,,,,,,,,,,,,,,
468,herb & pepper,shrimp,whole wheat pasta,whole wheat rice,chicken,green tea,cauliflower,,,,,,,,,,,,,
6373,protein bar,tomato juice,fresh bread,honey,,,,,,,,,,,,,,,,
3803,herb & pepper,mineral water,chocolate,milk,salmon,pancakes,eggs,green tea,escalope,,,,,,,,,,,
2316,frozen vegetables,parmesan cheese,butter,carrots,oatmeal,green tea,hot dogs,,,,,,,,,,,,,
3508,mineral water,,,,,,,,,,,,,,,,,,,
5216,frozen vegetables,spaghetti,soup,avocado,almonds,honey,french fries,frozen smoothie,,,,,,,,,,,,
4977,grated cheese,spaghetti,mineral water,chocolate,olive oil,french wine,cereals,antioxydant juice,green tea,pasta,fresh bread,white wine,cauliflower,,,,,,,
4821,tomatoes,mineral water,salmon,chocolate,,,,,,,,,,,,,,,,
1145,avocado,champagne,,,,,,,,,,,,,,,,,,
2994,chocolate,frozen smoothie,,,,,,,,,,,,,,,,,,
929,spaghetti,milk,oil,shampoo,,,,,,,,,,,,,,,,
3608,fresh tuna,herb & pepper,mineral water,milk,cereals,,,,,,,,,,,,,,,
5916,spaghetti,,,,,,,,,,,,,,,,,,,
7298,burgers,mineral water,chocolate bread,,,,,,,,,,,,,,,,,
3768,mineral water,eggs,,,,,,,,,,,,,,,,,,
5080,burgers,spaghetti,shallot,mushroom cream sauce,,,,,,,,,,,,,,,,
2787,mineral water,pancakes,magazines,,,,,,,,,,,,,,,,,
7032,mineral water,salmon,,,,,,,,,,,,,,,,,,
4444,burgers,mineral water,milk,olive oil,cake,frozen smoothie,light mayo,,,,,,,,,,,,,
4884,pancakes,yogurt cake,,,,,,,,,,,,,,,,,,
3707,frozen vegetables,eggs,,,,,,,,,,,,,,,,,,
493,chocolate,red wine,tomato sauce,olive oil,chili,french fries,cookies,salt,fresh bread,magazines,,,,,,,,,,
3202,spaghetti,mineral water,meatballs,strong cheese,,,,,,,,,,,,,,,,
5108,fresh tuna,tomatoes,milk,vegetables mix,chocolate,french fries,fresh bread,,,,,,,,,,,,,
3455,ham,chocolate,grated cheese,ground beef,mineral water,eggs,protein bar,,,,,,,,,,,,,
6338,pickles,herb & pepper,vegetables mix,eggs,french fries,,,,,,,,,,,,,,,
538,grated cheese,butter,chocolate,french fries,cookies,,,,,,,,,,,,,,,
4870,bacon,eggs,french fries,yogurt cake,,,,,,,,,,,,,,,,
6104,mineral water,almonds,eggs,green tea,,,,,,,,,,,,,,,,
4673,chocolate,milk,,,,,,,,,,,,,,,,,,
3178,chocolate,oil,cooking oil,pancakes,light mayo,,,,,,,,,,,,,,,
1916,avocado,,,,,,,,,,,,,,,,,,,
2498,frozen vegetables,pancakes,low fat yogurt,,,,,,,,,,,,,,,,,
5492,turkey,meatballs,eggs,green tea,,,,,,,,,,,,,,,,
1415,burgers,mineral water,milk,cake,chocolate,french fries,escalope,cookies,babies food,zucchini,,,,,,,,,,
3719,champagne,,,,,,,,,,,,,,,,,,,
5405,herb & pepper,,,,,,,,,,,,,,,,,,,
2365,eggs,french fries,,,,,,,,,,,,,,,,,,
3133,hot dogs,,,,,,,,,,,,,,,,,,,
4326,mineral water,,,,,,,,,,,,,,,,,,,
7477,turkey,ground beef,mineral water,chocolate,soup,pancakes,whole wheat rice,light cream,carrots,mayonnaise,,,,,,,,,,
6767,whole wheat pasta,mineral water,light cream,extra dark chocolate,clothes accessories,pancakes,,,,,,,,,,,,,,
4918,chutney,chocolate,champagne,,,,,,,,,,,,,,,,,
5986,spaghetti,,,,,,,,,,,,,,,,,,,
871,burgers,parmesan cheese,chocolate,soup,milk,olive oil,energy bar,butter,almonds,fromage blanc,eggs,cake,pancakes,,,,,,,
4961,grated cheese,mineral water,chutney,salmon,cereals,,,,,,,,,,,,,,,
2375,burgers,milk,cream,,,,,,,,,,,,,,,,,
5490,meatballs,bug spray,burger sauce,cereals,,,,,,,,,,,,,,,,
3264,low fat yogurt,,,,,,,,,,,,,,,,,,,
631,green grapes,gums,,,,,,,,,,,,,,,,,,
5012,milk,eggs,,,,,,,,,,,,,,,,,,
6917,burgers,mineral water,whole wheat rice,,,,,,,,,,,,,,,,,
3433,cookies,,,,,,,,,,,,,,,,,,,
158,herb & pepper,whole wheat pasta,ground beef,mineral water,olive oil,,,,,,,,,,,,,,,
5056,burgers,ground beef,muffins,honey,bug spray,,,,,,,,,,,,,,,
6843,milk,salmon,green tea,,,,,,,,,,,,,,,,,
4540,turkey,spaghetti,eggs,honey,french fries,champagne,pancakes,protein bar,,,,,,,,,,,,
173,chocolate,mineral water,corn,cottage cheese,green tea,,,,,,,,,,,,,,,
5859,frozen vegetables,tomatoes,spaghetti,french fries,escalope,shallot,,,,,,,,,,,,,,
241,green tea,,,,,,,,,,,,,,,,,,,
3950,red wine,flax seed,cake,frozen smoothie,hot dogs,toothpaste,,,,,,,,,,,,,,
6766,butter,chicken,french fries,,,,,,,,,,,,,,,,,
6454,frozen vegetables,mineral water,eggs,,,,,,,,,,,,,,,,,
7135,grated cheese,cooking oil,light mayo,,,,,,,,,,,,,,,,,
4508,candy bars,,,,,,,,,,,,,,,,,,,
4420,champagne,,,,,,,,,,,,,,,,,,,
6788,herb & pepper,honey,,,,,,,,,,,,,,,,,,
4389,grated cheese,mineral water,eggs,protein bar,tomato juice,fresh bread,,,,,,,,,,,,,,
4263,shrimp,champagne,,,,,,,,,,,,,,,,,,
5576,muffins,cauliflower,,,,,,,,,,,,,,,,,,
6789,escalope,,,,,,,,,,,,,,,,,,,
1536,shrimp,eggs,chocolate,mushroom cream sauce,low fat yogurt,,,,,,,,,,,,,,,
396,mineral water,,,,,,,,,,,,,,,,,,,
3279,muffins,oil,escalope,,,,,,,,,,,,,,,,,
6482,cookies,,,,,,,,,,,,,,,,,,,
1556,herb & pepper,shrimp,tomatoes,ground beef,spaghetti,olive oil,cooking oil,green beans,cereals,green tea,,,,,,,,,,
4327,pancakes,,,,,,,,,,,,,,,,,,,
2534,pepper,spaghetti,cider,champagne,,,,,,,,,,,,,,,,
3328,mineral water,eggs,green tea,frozen smoothie,,,,,,,,,,,,,,,,
3175,fresh tuna,frozen vegetables,tomatoes,ground beef,pancakes,fresh bread,low fat yogurt,,,,,,,,,,,,,
5699,whole wheat pasta,low fat yogurt,,,,,,,,,,,,,,,,,,
2795,fresh bread,,,,,,,,,,,,,,,,,,,
659,energy drink,,,,,,,,,,,,,,,,,,,
7147,frozen vegetables,mineral water,milk,,,,,,,,,,,,,,,,,
5385,french wine,rice,green beans,eggplant,french fries,,,,,,,,,,,,,,,
4953,low fat yogurt,,,,,,,,,,,,,,,,,,,
6518,escalope,,,,,,,,,,,,,,,,,,,
5706,shrimp,tomato juice,magazines,,,,,,,,,,,,,,,,,
6380,avocado,energy bar,,,,,,,,,,,,,,,,,,
4541,burgers,vegetables mix,green tea,,,,,,,,,,,,,,,,,
5577,turkey,eggs,pancakes,,,,,,,,,,,,,,,,,
1534,frozen vegetables,parmesan cheese,oil,green beans,tea,frozen smoothie,,,,,,,,,,,,,,
5113,muffins,honey,mushroom cream sauce,hot dogs,pancakes,yogurt cake,shampoo,,,,,,,,,,,,,
7348,mineral water,vegetables mix,muffins,,,,,,,,,,,,,,,,,
2606,escalope,,,,,,,,,,,,,,,,,,,
6756,french fries,cookies,,,,,,,,,,,,,,,,,,
6880,cookies,,,,,,,,,,,,,,,,,,,
5506,ground beef,yams,cake,,,,,,,,,,,,,,,,,
4649,turkey,eggs,,,,,,,,,,,,,,,,,,
6192,chocolate,whole wheat pasta,spaghetti,milk,salmon,,,,,,,,,,,,,,,
7051,ham,mineral water,pancakes,cake,,,,,,,,,,,,,,,,
5727,cider,champagne,,,,,,,,,,,,,,,,,,
486,spaghetti,eggs,ham,chocolate,french fries,champagne,brownies,pancakes,light mayo,,,,,,,,,,,
1796,turkey,pepper,light mayo,protein bar,,,,,,,,,,,,,,,,
3187,vegetables mix,,,,,,,,,,,,,,,,,,,
2702,green tea,,,,,,,,,,,,,,,,,,,
4778,mineral water,chocolate,escalope,low fat yogurt,,,,,,,,,,,,,,,,
2999,whole wheat pasta,eggs,cake,french fries,green tea,,,,,,,,,,,,,,,
5312,grated cheese,spaghetti,mineral water,milk,nonfat milk,eggs,blueberries,light cream,chicken,chocolate,french fries,,,,,,,,,
6602,body spray,yogurt cake,,,,,,,,,,,,,,,,,,
4987,cake,french fries,,,,,,,,,,,,,,,,,,
5082,burgers,herb & pepper,shrimp,frozen vegetables,whole wheat pasta,ground beef,mineral water,honey,whole wheat rice,frozen smoothie,escalope,magazines,,,,,,,,
6200,burgers,eggs,babies food,,,,,,,,,,,,,,,,,
6285,mineral water,eggs,,,,,,,,,,,,,,,,,,
1332,green tea,pancakes,,,,,,,,,,,,,,,,,,
1580,spaghetti,vegetables mix,rice,eggplant,green tea,,,,,,,,,,,,,,,
2476,mineral water,eggplant,low fat yogurt,,,,,,,,,,,,,,,,,
91,champagne,low fat yogurt,,,,,,,,,,,,,,,,,,
3449,spaghetti,olive oil,,,,,,,,,,,,,,,,,,
1948,turkey,spaghetti,milk,energy bar,french wine,eggs,eggplant,french fries,cookies,green tea,,,,,,,,,,
6990,eggs,,,,,,,,,,,,,,,,,,,
123,chocolate,milk,,,,,,,,,,,,,,,,,,
6234,tomatoes,mineral water,eggs,ketchup,corn,pancakes,,,,,,,,,,,,,,
5268,frozen vegetables,ground beef,mineral water,chocolate,pancakes,,,,,,,,,,,,,,,
6496,dessert wine,herb & pepper,mineral water,milk,black tea,salmon,honey,blueberries,burger sauce,extra dark chocolate,frozen smoothie,,,,,,,,,
1821,burgers,fresh tuna,pickles,vegetables mix,hot dogs,cottage cheese,brownies,green tea,,,,,,,,,,,,
1161,chicken,,,,,,,,,,,,,,,,,,,
891,yogurt cake,,,,,,,,,,,,,,,,,,,
3872,fresh tuna,frozen vegetables,honey,cake,brownies,energy drink,,,,,,,,,,,,,,
2057,tomatoes,milk,,,,,,,,,,,,,,,,,,
5816,chocolate,french fries,mint,,,,,,,,,,,,,,,,,
306,frozen vegetables,spaghetti,yams,mineral water,french wine,green grapes,rice,chocolate,,,,,,,,,,,,
7253,burgers,spaghetti,milk,cereals,strawberries,salad,magazines,,,,,,,,,,,,,
4799,spaghetti,mineral water,,,,,,,,,,,,,,,,,,
4170,energy bar,pancakes,,,,,,,,,,,,,,,,,,
102,ham,spaghetti,chocolate,eggs,,,,,,,,,,,,,,,,
3502,green tea,,,,,,,,,,,,,,,,,,,
5514,mashed potato,,,,,,,,,,,,,,,,,,,
4450,mineral water,cooking oil,french fries,,,,,,,,,,,,,,,,,
5793,pickles,antioxydant juice,french fries,,,,,,,,,,,,,,,,,
2164,ground beef,milk,energy bar,light cream,,,,,,,,,,,,,,,,
2902,mineral water,,,,,,,,,,,,,,,,,,,
1833,chocolate,shrimp,milk,butter,black tea,eggs,cooking oil,barbecue sauce,green tea,cauliflower,toothpaste,,,,,,,,,
1998,grated cheese,tomato sauce,spaghetti,fromage blanc,body spray,,,,,,,,,,,,,,,
5631,mineral water,,,,,,,,,,,,,,,,,,,
1171,escalope,,,,,,,,,,,,,,,,,,,
4486,mineral water,,,,,,,,,,,,,,,,,,,
2519,vegetables mix,,,,,,,,,,,,,,,,,,,
66,herb & pepper,whole wheat pasta,ground beef,mineral water,avocado,cider,whole wheat rice,,,,,,,,,,,,,
2453,grated cheese,,,,,,,,,,,,,,,,,,,
1300,eggs,,,,,,,,,,,,,,,,,,,
6289,herb & pepper,tomatoes,spaghetti,mineral water,chutney,eggs,cake,french fries,,,,,,,,,,,,
7229,whole wheat rice,,,,,,,,,,,,,,,,,,,
3974,mineral water,french wine,chicken,,,,,,,,,,,,,,,,,
4378,turkey,frozen vegetables,spaghetti,eggs,chocolate,french fries,frozen smoothie,hot dogs,brownies,,,,,,,,,,,
995,shrimp,body spray,green tea,,,,,,,,,,,,,,,,,
6695,mineral water,muffins,french fries,,,,,,,,,,,,,,,,,
7052,spaghetti,flax seed,french fries,champagne,,,,,,,,,,,,,,,,
658,shrimp,tomato sauce,mineral water,chocolate,escalope,mint,,,,,,,,,,,,,,
2780,tomatoes,cookies,champagne,,,,,,,,,,,,,,,,,
4441,milk,,,,,,,,,,,,,,,,,,,
3703,chicken,,,,,,,,,,,,,,,,,,,
5453,chocolate,,,,,,,,,,,,,,,,,,,
1453,cookies,,,,,,,,,,,,,,,,,,,
850,muffins,,,,,,,,,,,,,,,,,,,
948,shrimp,frozen vegetables,tomatoes,cottage cheese,,,,,,,,,,,,,,,,
3445,shrimp,frozen vegetables,tomatoes,mineral water,meatballs,,,,,,,,,,,,,,,
3357,burgers,ground beef,mineral water,frozen smoothie,sparkling water,light mayo,,,,,,,,,,,,,,
6914,burgers,grated cheese,frozen vegetables,ground beef,spaghetti,mineral water,soup,eggs,french fries,,,,,,,,,,,
6241,turkey,burgers,frozen vegetables,spaghetti,olive oil,french wine,eggs,gums,pancakes,salt,green tea,,,,,,,,,
4805,soda,cereals,salt,,,,,,,,,,,,,,,,,
964,chocolate,french fries,strawberries,yogurt cake,light mayo,,,,,,,,,,,,,,,
7150,turkey,tomatoes,spaghetti,milk,,,,,,,,,,,,,,,,
119,pasta,,,,,,,,,,,,,,,,,,,
4048,french fries,cottage cheese,,,,,,,,,,,,,,,,,,
3251,burgers,,,,,,,,,,,,,,,,,,,
4455,mineral water,escalope,,,,,,,,,,,,,,,,,,
7140,chocolate,cookies,,,,,,,,,,,,,,,,,,
1825,dessert wine,mineral water,milk,,,,,,,,,,,,,,,,,
1377,fresh tuna,tomatoes,mineral water,eggs,honey,low fat yogurt,,,,,,,,,,,,,,
1630,chocolate,spaghetti,mineral water,,,,,,,,,,,,,,,,,
304,burgers,spaghetti,soup,milk,olive oil,salmon,eggs,blueberries,,,,,,,,,,,,
1124,chocolate,frozen vegetables,light mayo,green tea,,,,,,,,,,,,,,,,
2075,spaghetti,butter,eggs,cake,chocolate,french fries,,,,,,,,,,,,,,
4990,cake,cookies,babies food,low fat yogurt,,,,,,,,,,,,,,,,
4501,muffins,eggs,pancakes,,,,,,,,,,,,,,,,,
7468,whole wheat pasta,mineral water,light cream,chicken,french fries,,,,,,,,,,,,,,,
2779,ham,low fat yogurt,,,,,,,,,,,,,,,,,,
3870,shrimp,chocolate,flax seed,vegetables mix,cooking oil,babies food,low fat yogurt,,,,,,,,,,,,,
3714,escalope,,,,,,,,,,,,,,,,,,,
3930,red wine,cake,champagne,,,,,,,,,,,,,,,,,
5847,turkey,ground beef,mineral water,cooking oil,,,,,,,,,,,,,,,,
1169,ham,red wine,corn,green tea,,,,,,,,,,,,,,,,
4361,cookies,,,,,,,,,,,,,,,,,,,
6329,spaghetti,mineral water,chocolate,milk,olive oil,salmon,eggs,cooking oil,fresh bread,,,,,,,,,,,
2310,cookies,,,,,,,,,,,,,,,,,,,
5128,burgers,yams,milk,eggs,melons,,,,,,,,,,,,,,,
2212,turkey,frozen vegetables,ground beef,mineral water,chocolate,soup,milk,,,,,,,,,,,,,
6441,black tea,green tea,light mayo,,,,,,,,,,,,,,,,,
4402,ground beef,clothes accessories,chocolate,,,,,,,,,,,,,,,,,
2487,pancakes,fresh bread,,,,,,,,,,,,,,,,,,
353,tomatoes,champagne,green tea,,,,,,,,,,,,,,,,,
7470,mineral water,chocolate,,,,,,,,,,,,,,,,,,
3606,mineral water,olive oil,french wine,eggs,gums,antioxydant juice,low fat yogurt,,,,,,,,,,,,,
961,mint,,,,,,,,,,,,,,,,,,,
3873,burgers,eggs,green tea,,,,,,,,,,,,,,,,,
4200,turkey,mineral water,eggs,bug spray,,,,,,,,,,,,,,,,
1187,butter,green tea,,,,,,,,,,,,,,,,,,
3894,shrimp,extra dark chocolate,whole weat flour,,,,,,,,,,,,,,,,,
6885,nonfat milk,escalope,,,,,,,,,,,,,,,,,,
975,green tea,,,,,,,,,,,,,,,,,,,
4405,frozen vegetables,melons,,,,,,,,,,,,,,,,,,
